"timestamp","phase","desired_replicas","current_replicas","ready_replicas","cpu_average_utilization_percent"
"2026-08-31T07:32:15.9690979Z","baseline","1","1","1","3"
"2026-08-31T07:32:19.1813538Z","load","1","1","1","3"
"2026-08-31T07:32:24.8856410Z","load","1","1","1","3"
"2026-08-31T07:32:30.6033632Z","load","1","1","1","4"
"2026-08-31T07:32:36.3044600Z","load","1","1","1","4"
"2026-08-31T07:32:42.0489129Z","load","1","1","1","4"
"2026-08-31T07:32:47.8156057Z","load","3","3","1","372"
"2026-08-31T07:32:53.6199363Z","load","3","3","1","372"
"2026-08-31T07:32:59.3932729Z","load","3","3","2","372"
"2026-08-31T07:33:05.1565255Z","load","4","4","3","503"
"2026-08-31T07:33:10.8230828Z","load","4","4","3","503"
"2026-08-31T07:33:16.5066751Z","load","4","4","4","499"
"2026-08-31T07:33:22.1908406Z","load","4","4","4","499"
"2026-08-31T07:33:27.8322131Z","load","4","4","4","499"
"2026-08-31T07:33:33.5064238Z","load","4","4","4","239"
"2026-08-31T07:33:39.1876247Z","load","4","4","4","239"
"2026-08-31T07:33:44.8525707Z","load","4","4","4","239"
"2026-08-31T07:33:50.6426584Z","load","4","4","4","285"
"2026-08-31T07:33:56.4276981Z","load","4","4","4","285"
"2026-08-31T07:34:02.0766161Z","load","4","4","4","292"
"2026-08-31T07:34:07.7721550Z","load","4","4","4","292"
"2026-08-31T07:34:13.4095692Z","load","4","4","4","292"
"2026-08-31T07:34:19.1036490Z","load","4","4","4","239"
"2026-08-31T07:34:24.7947806Z","cooldown","4","4","4","239"
"2026-08-31T07:34:30.4605958Z","cooldown","4","4","4","284"
"2026-08-31T07:34:36.1162281Z","cooldown","4","4","4","284"
"2026-08-31T07:34:41.7992139Z","cooldown","4","4","4","284"
"2026-08-31T07:34:47.4554646Z","cooldown","4","4","4","118"
"2026-08-31T07:34:53.0752971Z","cooldown","4","4","4","118"
"2026-08-31T07:34:58.8413359Z","cooldown","4","4","4","118"
"2026-08-31T07:35:04.5251859Z","cooldown","4","4","4","52"
"2026-08-31T07:35:10.2310570Z","cooldown","4","4","4","52"
"2026-08-31T07:35:15.8708257Z","cooldown","4","4","4","3"
"2026-08-31T07:35:21.5233657Z","cooldown","4","4","4","3"
"2026-08-31T07:35:27.2188375Z","cooldown","4","4","4","3"
"2026-08-31T07:35:32.8595762Z","cooldown","1","1","1","3"
