LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
47m         Normal    ScalingReplicaSet              deployment/gateway                      Scaled down replica set gateway-59c998d57f from 1 to 0
47m         Normal    SuccessfulDelete               replicaset/gateway-59c998d57f           Deleted pod: gateway-59c998d57f-9xjpc
47m         Normal    Killing                        pod/gateway-59c998d57f-9xjpc            Stopping container gateway
38m         Warning   Unhealthy                      pod/social-service-58c6f8c7dc-fq7jd     Readiness probe failed: Get "http://10.244.0.37:8000/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
8m          Warning   Unhealthy                      pod/user-service-cf8f7df87-252mb        Readiness probe failed: Get "http://10.244.0.35:8000/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
8m32s       Warning   Unhealthy                      pod/user-service-cf8f7df87-252mb        Liveness probe failed: Get "http://10.244.0.35:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
8m19s       Normal    Scheduled                      pod/user-service-cf8f7df87-c8v9v        Successfully assigned streamhub-ms/user-service-cf8f7df87-c8v9v to streamhub-lab-control-plane
8m20s       Normal    SuccessfulCreate               replicaset/user-service-cf8f7df87       Created pod: user-service-cf8f7df87-cb6jv
8m20s       Normal    SuccessfulCreate               replicaset/user-service-cf8f7df87       Created pod: user-service-cf8f7df87-c8v9v
8m19s       Normal    Scheduled                      pod/user-service-cf8f7df87-cb6jv        Successfully assigned streamhub-ms/user-service-cf8f7df87-cb6jv to streamhub-lab-control-plane
2m34s       Normal    ScalingReplicaSet              deployment/user-service                 Scaled up replica set user-service-cf8f7df87 from 1 to 3
8m18s       Normal    Started                        pod/user-service-cf8f7df87-cb6jv        Container started
8m18s       Normal    Pulled                         pod/user-service-cf8f7df87-cb6jv        Container image "streamhub-user-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
8m18s       Normal    Created                        pod/user-service-cf8f7df87-c8v9v        Container created
8m18s       Normal    Started                        pod/user-service-cf8f7df87-c8v9v        Container started
8m18s       Normal    Created                        pod/user-service-cf8f7df87-cb6jv        Container created
8m18s       Normal    Pulled                         pod/user-service-cf8f7df87-c8v9v        Container image "streamhub-user-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
8m8s        Warning   Unhealthy                      pod/user-service-cf8f7df87-c8v9v        Readiness probe failed: Get "http://10.244.0.41:8000/ready": dial tcp 10.244.0.41:8000: connect: connection refused
8m8s        Warning   Unhealthy                      pod/user-service-cf8f7df87-cb6jv        Readiness probe failed: Get "http://10.244.0.40:8000/ready": dial tcp 10.244.0.40:8000: connect: connection refused
8m5s        Normal    SuccessfulCreate               replicaset/user-service-cf8f7df87       Created pod: user-service-cf8f7df87-k6c5f
2m19s       Normal    SuccessfulRescale              horizontalpodautoscaler/user-service    New size: 4; reason: cpu resource utilization (percentage of request) above target
8m4s        Normal    Scheduled                      pod/user-service-cf8f7df87-k6c5f        Successfully assigned streamhub-ms/user-service-cf8f7df87-k6c5f to streamhub-lab-control-plane
2m19s       Normal    ScalingReplicaSet              deployment/user-service                 Scaled up replica set user-service-cf8f7df87 from 3 to 4
8m4s        Normal    Pulled                         pod/user-service-cf8f7df87-k6c5f        Container image "streamhub-user-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
8m4s        Normal    Started                        pod/user-service-cf8f7df87-k6c5f        Container started
8m4s        Normal    Created                        pod/user-service-cf8f7df87-k6c5f        Container created
7m58s       Warning   Unhealthy                      pod/user-service-cf8f7df87-k6c5f        Readiness probe failed: Get "http://10.244.0.42:8000/ready": dial tcp 10.244.0.42:8000: connect: connection refused
7m40s       Warning   Unhealthy                      pod/user-service-cf8f7df87-c8v9v        Readiness probe failed: Get "http://10.244.0.41:8000/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
7m48s       Warning   Unhealthy                      pod/user-service-cf8f7df87-c8v9v        Liveness probe failed: Get "http://10.244.0.41:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
7m36s       Warning   Unhealthy                      pod/user-service-cf8f7df87-cb6jv        Readiness probe failed: Get "http://10.244.0.40:8000/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
5m34s       Normal    SuccessfulDelete               replicaset/user-service-cf8f7df87       Deleted pod: user-service-cf8f7df87-252mb
4s          Normal    ScalingReplicaSet              deployment/user-service                 Scaled down replica set user-service-cf8f7df87 from 4 to 1
5m34s       Normal    SuccessfulDelete               replicaset/user-service-cf8f7df87       Deleted pod: user-service-cf8f7df87-c8v9v
5m34s       Normal    SuccessfulDelete               replicaset/user-service-cf8f7df87       Deleted pod: user-service-cf8f7df87-cb6jv
5m34s       Normal    Killing                        pod/user-service-cf8f7df87-c8v9v        Stopping container user-service
5m34s       Normal    Killing                        pod/user-service-cf8f7df87-cb6jv        Stopping container user-service
5m34s       Normal    Killing                        pod/user-service-cf8f7df87-252mb        Stopping container user-service
2s          Normal    ScalingReplicaSet              deployment/content-service              Scaled down replica set content-service-db8588cf8 from 1 to 0
